7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7CCCF5DE	A force prediction model for mouldboard ploughs incorporating the effects of soil characteristic properties, plough geometric factors and ploughing speed
76D9D92F	Accurate low-cost methods for performance evaluation of cache memory systems
5A0F8090	Adaptive object tracking with online statistical model update
7EE346E3	New model extraction for predicting distortion in HEMT and MESFET circuits
7766ED60	Soil–landscape modeling across a physiographic region: Topographic patterns and model transportability
8026FE49	Predicting the Future of Discrete Sequences from Fractal Representations of the Past
7B2D3F36	High‐resolution habitat suitability modelling can improve conservation of vulnerable marine ecosystems in the deep sea
75C73841	In vitro assessment of eye irritancy using the Reconstructed Human Corneal Epithelial SkinEthic HCE model: application to 435 substances from consumer products industry.
7E209C12	A Two-Phase Mapping Method for Parallel Applications Simulation
7E0F9BAB	A Practical Intelligent Navigation System based on Travel Speed Prediction
815FDD0F	A Corporate Dividend Policy UJsing Human Knowledge Process Model
75ED72C3	Qualitative reasoning and integrated management of the quality of stored grain: a promising new approach
7FE2A756	Software evolution from a time-series perspective
7E8C55B7	Performance under failures of high-end computing
813AE340	A Physical Model for Work-Function Variation in Ultra-Short Channel Metal-Gate MOSFETs
7F40D388	Model predictive control of fuel cell micro cogeneration systems
7D55EF07	A monitor wafer based controller for semiconductor processes
7D06794E	Uncertainty model unfalsification: a system identification paradigm compatible with robust control design
80F174CD	Internal validation of predictive models: Efficiency of some procedures for logistic regression analysis
80876C73	Performance of the Standard Cabin Method: Comparison of BEAST Models And Error Rates to Detect Simulated Degradation from Multiple Data Sets
7D6F3ACD	Equating accelerometer estimates of moderate-to-vigorous physical activity: In search of the Rosetta Stone
7CBEFB8D	Prediction of Uniaxial Compressive Strength, Tensile Strength and Porosity of Sedimentary Rocks Using Sound Level Produced During Rotary Drilling
7D6878BF	Generating Adaptation Policies for Multi-tier Applications in Consolidated Server Environments
793EA2BB	A review study of predictive model blast vibration attenuation equation by using neural network as an evaluator
7E9702A2	Spatial prediction of the variability of Early Pleistocene subsurface sediments in the Netherlands - Part 1 : Heavy minerals
7BBFB3AC	Estimation of Canopy Nitrogen Concentration Across C3 and C4 Grasslands Using WorldView-2 Multispectral Data
7D62A565	Short-term prediction models for server management in Internet-based contexts
7E0EF053	Subspace-based identification for linear and nonlinear systems
7F674302	Value of prediction models in determining treatment strategies in patients with advanced stage epithelial ovarian cancer
7FA7270B	Modeling and analysis of 2D service differentiation on e-commerce servers
58B0687B	Closed-loop subspace Predictive Control for Linear Parameter Varying systems (i) - the nominal case
7E067A2E	A Methodology to Predict the Performance of Distributed Simulations
7ABD5E1E	Do adaptation rules improve web cost estimation?
7EF86A74	The indirect measurement of tensile strength for a higher temperature by the new model IGDMC(1, n )
764FFB57	Replicating and Re-Evaluating the Theory of Relative Defect-Proneness
7F15B8A8	Global analytical model predictive control with input constraints
594FFB09	Another Software Reliability Prediction Model
7EA120F0	Study on Predictive Fuzzy Control of Great Inertia System Based on Grey Model
7E2EC525	Model predictive control for compensation of cyclic organ motions in teleoperated laparoscopic surgery
816DB195	Laguerre-SVD reduced order modeling
7E8B45FE	Integrating spectral indices into prediction models of soil phosphorus in a subtropical wetland.
7D607E0A	Spectral prediction model for color prints on paper with fluorescent additives
7E3D099B	Predicting Runtime Performance Bounds of Expanded Parallel Discrete Event Simulations
7E99C8DD	Co-Optimization of Circuits, Layout and Lithography for Predictive Technology Scaling Beyond Gratings
7BF2D288	Algorithms and Software for Predictive and Perceptual Modeling of Speech
7E7EEA3D	A UTD propagation model in urban microcellular environments
7C699E2E	The use of indicators to assess the degree of mobilisation of body reserves in dairy cows in early lactation on a pasture-based diet
7CDE5992	Reducing arbitrary choices in model building for prognostics: An approach by applying parsimony principle on an evolving neuro-fuzzy system
7FDB2AD7	Femoral strength is better predicted by finite element models than QCT and DXA
819F1CAE	Development of a predictive model for the growth kinetics of aerobic microbial population on pomegranate marinated chicken breast fillets under isothermal and dynamic temperature conditions
79AB99C6	Analysis and Real-Time Prediction of Local Incident Impact on Transportation Networks
75622D09	The effects of random surface waves on the steady Ekman current solutions
80DC23AD	A new approach to explicit MPC using self-optimizing control
63D60F47	Comparative Analysis of Processors Performance Using ANN
7EB022C0	Predictive models of benthic invertebrate methylmercury in Ontario and Quebec lakes
7D342AAA	An intelligent driver warning system for vehicle collision avoidance
7D1431F6	Packet Loss Rate Prediction Using the Sparse Basis Prediction Model
7EB57D8B	Nonlinear uncertainty model unfalsification
807B90C3	Predicting Change Impact in Object-Oriented Applications with Bayesian Networks
812DDA6B	Intelligent weather monitoring systems using connectionist models
7D8B1C4D	SVM Combined with FCM and PCA for Financial Diagnosis
8076AE26	Variable Selection Using Random Forests
7DE9C8F3	Damage mechanics of electronics on metal-backed substrates in harsh environments
7E000B26	Individualizing the risk for preterm birth: an overview of the literature
7DC9F956	Modifying the human circadian pacemaker using model based predictive control
7E72FF3D	Real-time implementation of biofidelic SA1 model for tactile feedback
601FFDE5	Jordan neural network for modelling and predictive control of dynamic systems
7F34FB79	Characterizing and modeling the cost of rework in a library of reusable software components
79F006F5	Modeling Hexavalent Chromium Reduction in Groundwater in Field‐Scale Transport and Laboratory Batch Experiments
7FFCE715	SO(10) GUT Models and Their Present Success in Explaining Mass and Mixing Data ∗
7D47888A	A survey of spectrum sensing algorithms for cognitive radio applications
80E806B7	An explicit expression for surface potential at high-end of moderate inversion
7B96434F	Experience of Everyday Hassles and Comparative Sense of Well-being in New Zealand Adolescents
7E8F7922	Performance Bounds for MIMO-OFDM Channel Estimation
7C72360A	Transferability of Species Distribution Models: a Functional Habitat Approach for Two Regionally Threatened Butterflies
7107AFD8	A decision support tool for predicting patients at risk of readmission: : a comparison of classification trees, logistic regression, generalized additive models, and multivariate adaptive regression splines
75C1ADFF	An Australian risk prediction model for 30-day mortality after isolated coronary artery bypass: The AusSCORE
763D5E5F	The binding modes and binding affinities of artemisinin derivatives with Plasmodium falciparum Ca2+-ATPase (PfATP6)
7E706B10	Feature Selection for Time Series Forecasting: A Case Study
7A551053	Depth of cut models for multipass abrasive waterjetcutting of alumina ceramics with nozzle oscillation
812D282D	Reliability modeling: an overview for system designers
7FA951DA	A Model Predictive Control Strategy Toward Optimal Structured Treatment Interruptions in Anti-HIV Therapy
7FBE4397	A Hierarchical Bayesian Approach to Modeling Heterogeneity in Speech Quality Assessment
7A3DD005	A Successful Predictive Model of Species Richness Based on Indicator Species: Indicators Predict Species Richness
78091F92	Branch prediction, instruction-window size, and cache size: performance trade-offs and simulation techniques
7716AD9F	Real-Time No-Reference Image Quality Assessment Based on Filter Learning
752E8088	Development of Box–Jenkins type time series models by combining conventional and orthonormal basis filter approaches
