7632557C	Information not present<---Quality of service provision under channel fading
62E00CBB	Clinical Orthopaedics and Related Research<---Transmitting important bits and sailing high radio waves: a decentralized cross-layer approach to cooperative video transmission
7A6FABDC	Information not present<---Dynamic skew compensation for 40-Gb/s/ch multi-wavelength parallel transmission with OTN frame
802D9B1C	IEEE Communications Magazine<---Vehicle-to-vehicle channel modeling and measurements: recent advances and future challenges
11E554CF	Information not present<---Nintendo Wii Monitor | Gear Live
812590F5	Wireless Communications and Networking Conference<---Frame synchronization in UWB using multiple sync words to eliminate line frequencies
802A36B5	Information not present<---GPON upstream link utilization analysis with integrated network surveillance
7CF95A36	IEEE Transactions on Wireless Communications<---A New Approach for Time Synchronization in Wireless Sensor Networks: Pairwise Broadcast Synchronization
7EAFDA02	Information not present<---Measurement of the MIMO UWB OFDM channel
7D8F2DCC	Information not present<---Clock-Sampling Mutual Network Synchronization for Mobile Multi-hop Wireless Ad Hoc Networks
5FD780F7	Vehicular Technology Conference<---Robust and efficient forward link radio layer architecture and MAC layer design in 3X EV-DV CDMA system
7A0DBAA4	Ad Hoc Networks<---On the impact of a more realistic physical layer on MANET simulations results
8102D666	IEEE Journal on Selected Areas in Communications<---Network planning in wireless ad hoc networks: a cross-Layer approach
75A74414	Global Communications Conference<---Physical layer built-in security enhancement of DS-CDMA systems using secure block interleaving
7E80763A	Information not present<---AT&T Optical Transport Services
5AEAE2C6	Information not present<---Localization and angular diversity using adaptable physical layer interfaces for wireless sensor networks
7EBB2D07	Information not present<---Cohesion of wireless sensor networks with MIMO communications
7DF4C6CC	System Analysis and Modeling<---Low-cost multi-channel underwater acoustic signal processing testbed
7ED81DA4	Information not present<---MAC LSI design for wireless MPEG-2 transmission over IEEE802.11b PHY
7E523EC7	IEEE Transactions on Vehicular Technology<---Performance analysis of SIMO space-time scheduling with convex utility function: zero-forcing linear processing
79E0E78C	Computer Science Logic<---Weight monitoring with linear temporal logic: complexity and decidability
7BDA287B	Scandinavian Audiology<---The Feasibility of Using Oto-Acoustic Emissions to Monitor Cochlear Function During Acoustic Neuroma Surgery
7D62F723	Broadband Communications, Networks and Systems<---Novel Signalling Based Approach for Handling Linear and Non-Linear Impairments in Transparent Optical Networks Invitedpaper
79AEA0DB	Information not present<---A black box approach to physical layer validation for 3G/4G base stations
7A128F16	Personal, Indoor and Mobile Radio Communications<---Multi-user cross-layer optimization for delay-sensitive applications over wireless multihop mesh networks
794F0A08	Information not present<---Quantum stream cipher beyond the Shannon limit of symmetric key cipher and the possibility of experimental demonstration
7CDB7A86	Information not present<---Exact Characterization of Monitor’ Color Showing
7F3F16DE	IEEE Transactions on Vehicular Technology<---Cross-Layer Enhanced Uplink Packet Scheduling for Multimedia Traffic Over MC-CDMA Networks
7DD05F14	International Conference on Computer Communications<---Packet fair queueing scheduling based on multirate multipath-transparent CDMA for wireless networks
7EBD239E	Ad Hoc Networks<---Performance evaluation of safety applications over DSRC vehicular ad hoc networks
7ECB6B05	International Conference on Communications<---Average Downstream Performance of Measured IEEE 802.11p Infrastructure-to-Vehicle Links
586559C7	Clinical Orthopaedics and Related Research<---Secrecy from Resolvability
5F42B7A2	IEEE Communications Magazine<---LTE-advanced and 4G wireless communications
7D996062	Wireless Communications and Networking Conference<---A Cross-layer Packet Scheduling and Subchannel Allocation Scheme in 802.16e OFDMA System
78917544	Vehicular Technology Conference<---Fuzzy Logic Aided Dynamic Source Routing in Cross-Layer Operation Assisted Ad Hoc Networks
7F0B8174	IEEE Journal on Selected Areas in Communications<---A seamless and proactive end-to-end mobility solution for roaming across heterogeneous wireless networks
796E6226	COMmunication System softWAre and MiddlewaRE<---Localization in Ultra Wideband sensor networks using Tabu search
8059BA81	Global Communications Conference<---Quality of Activation (QoA) for Dynamic Service Flows in IEEE 802.16 Networks
75DB1D41	Personal, Indoor and Mobile Radio Communications<---Interference performance of IEEE 802.15.6 Impulse-Radio Ultra-Wideband physical layer
80E2DB08	Vehicular Technology Conference<---The smart wireless LAN system: physical layer design and results
7BF495AC	IEEE Circuits & Devices<---Building a 2.4-GHZ radio transceiver using IEEE 802.15.4
84577913	International Conference on Communications<---Increasing Physical Layer Security through Scrambled Codes and ARQ
7E0ADA48	International Conference on Communications<---Heuristic algorithms for configuration of the ATM-layer over optical networks
79902B49	Applied Mechanics and Materials<---The Research of the CO2 Wireless Monitoring System Based on TC35
10C6A6BC	Information not present<---血液透析中の循環血液量の連続測定 : 非観血式連続的Hematocrit測定装置CRIT-LINE^ の有用性
5EF4966B	Information not present<---The LTE Interface
7E8725D6	Canadian Conference on Electrical and Computer Engineering<---Modularity and economy-of-scale effects in the optimal design of mesh-restorable networks
76BC5438	Information not present<---Uncompressed video transmission in portable devices for wireless video mirroring service
7E990609	IEEE Transactions on Wireless Communications<---Joint Power Adaptation, Scheduling, and Routing for Ultra Wide Band Networks
7A2A7DE5	Information not present<---Impact of interference aware metrics over UWB based MANET
6A25FF61	Conference on Information Sciences and Systems<---Rate regions and secrecy rate regions of cooperative relay networks
809CBC0A	IEEE Transactions on Vehicular Technology<---Broadband WLAN Channel Sounder for IEEE 802.11b
8139A7BA	Information not present<---A wireless thermocouples network for temperature control in plastic machinery
7D3E5104	Information not present<---A distributed simulation engine for cooperative multi-user MIMO enhanced wireless communications
78E01841	Information not present<---On channel estimation and equalization in OFDM based broadband fixed wireless MAN networks
812C6A6E	Information not present<---Proportional-Based Distributed Wireless-Network Cross-Layer Scheduling Algorithm
7F80D956	Information not present<---Advanced receiver module for satellite standard ETSI-SDR (ESDR)
80E6A3A9	IEEE Journal on Selected Areas in Communications<---Performance analysis of the IEEE 802.11 distributed coordination function
760E1086	Acta Paediatrica<---Background patterns and sleep‐wake cycles on amplitude‐integrated electroencephalography in preterms younger than 30 weeks gestational age with peri‐/intraventricular haemorrhage
73C87B4E	Information not present<---Software-defined radio for wirelesss local-area networks
680ED5BD	Information not present<---Simulation of physical layer and medium access control sublayer in IEEE 802.11x networks
7DD7A6ED	Vehicular Technology Conference<---A Novel TCP-Oriented Multi-Layer Packet Scheduling Algorithm
22786E1F	Information not present<---DISTI | VIJESTI - Dell - Fiscal-Year 2010 First Quarter Highlights
7E23B56D	International Conference on Communications<---Maximizing Capacity in the SINR Model in Wireless Networks with Successive Interference Cancellation
7CAA472A	ACM/IEEE International Conference on Mobile Computing and Networking<---Fine-grained spectrum adaptation in WiFi networks
7C6F60ED	IEEE Transactions on Signal Processing<---Precoder Design for Physical Layer Multicasting
7AB1A32E	Personal, Indoor and Mobile Radio Communications<---Design and performance of contention based MAC protocols in WBAN for medical ICT using IR-UWB
8019419A	International Conference on Computer Communications<---A case for variable-range transmission power control in wireless multihop networks
7D002427	Information not present<---New monitoring system to detect a radioactive material in motion
7F2EE01A	The Journal of Supercomputing<---The MAGNeT Toolkit: Design, Implementation and Evaluation
7B644E80	Information not present<---Detecting QoS degradation in wireless networks to assist reliable media streaming
753C28E6	Information not present<---Research on cooperation communication based-on cross-layer for underwater wireless sensor networks
7BAECEA7	Journal of Electromagnetic Waves and Applications<---A Robust Residual Frequency Error Estimator for UWB Application
7ED20CAB	International Conference on Parallel Processing<---A novel channel-adaptive uplink access control protocol for nomadic computing
7EB91788	IEEE Communications Magazine<---Field evaluation of UHF radio propagation for an ITS safety system in an urban environment
81240FC1	International Conference on Communications<---A Cross-Layer Perspective on Rateless Coding for Wireless Channels
