794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
763E5AF5	Fourier-transform pulsed-field-gradient 1H nuclear magnetic resonance investigation of the diffusion of light n-alkanes in zeolite ZSM-5
69771A27	Robustness of quadratic hedging strategies in finance via Fourier transforms
7A513FEC	The space fractional diffusion equation with Feller’s operator
7D3E2FB3	Generalized Transform Analysis of Affine Processes and Applications in Finance
7FF98F6D	PRICING DISCRETELY MONITORED BARRIER OPTIONS AND DEFAULTABLE BONDS IN LÉVY PROCESS MODELS: A FAST HILBERT TRANSFORM APPROACH
76572BD3	Microwave spectrum of the furan–CO van der Waals complex
781B6FF8	The uncertainty principle: a mathematical survey
799AA242	Tomographie a l'aide du reseau zone de Fresnel. Simulation numerique de la reconstruction optique
756A1F27	A simple phase unwrapping approach based on filtering by windowed Fourier transform: A note on the threshold selection
76CEB9B6	Innovative calibration technique for fringe projection based 3D scanner
77A42654	Fourier transform path integral method: numerical technique for scalar scattering in inhomogeneous regions
705892C4	Discrete fractional Hadamard transform
7D366FF3	Theoretical Performance of Entropy-Encoded DPCM
793328C1	Structure of molten bismuth-copper alloys by means of thermal neutron diffraction in the momentum range of k < 1 å-1
78A64DEB	Dissociative N 2 O Adsorption on Supported Pt
7D61413D	Application of maximum likelihood estimation to radar imaging
75539E82	Minimization of the expected path length in BDDs based on local changes
7705E917	Large amplitude oscillatory shear behavior of PEO-PPO-PEO triblock copolymer solutions
7C761461	Two dimensional nuclear magnetic resonance relaxation spectroscopy of molecular solids
7767BBEC	Obtaining reliable structural parameters from EXAFS
7D2C7F9D	A Fast Approach for Overcomplete Sparse Decomposition Based on Smoothed $\ell ^{0}$ Norm
7B721DDB	N 2 ( B-A ) Time-Resolved Fourier Transform Emission Spectra from a Pulsed Microwave Discharge
7AD05B8C	Figure-ground segmentation by transferring window masks
78762982	Rotational spectrum of three conformers of 3,3-difluoropentane: Construction of a 480MHz bandwidth chirped-pulse Fourier-transform microwave spectrometer
7FD6586D	Convergence of iterative signal reconstruction algorithms
7BF2A360	Complete fourier direct magnetic resonance imaging (CFD-MRI) for diffusion MRI
7F55B16A	A problem on completeness of exponentials
7C1B4FC0	L p Mixed-norm estimates for convolution operator defined by singular measures
7AAD08F7	Far infrared laser assignments and predictions for CO-stretching and CH 3 -rocking states of optically pumped 13 CH 3 OH
7D6A0112	Structural and magneto-transport properties of LCMO�STO composites
77578425	Cavity-ring-down spectroscopy on water vapor in the range 555-604 nm
5D1B33E9	The determination of complex refractive indices with Fourier-transform interferometry: I. Basic equations
805F08D9	A novel image encryption algorithm based on fractional Fourier transform
7BAB2236	Wave response of the ionosphere to the partial solar eclipse of August 1, 2008
790BB45B	A generalization of the Fourier transform and its application to spectral analysis of chirp-like signals
774B925D	Vibrational wave packet induced oscillations in two-dimensional electronic spectra. I. Experiments
7C3A52CA	Growth properties of Fourier transforms via moduli of continuity
805CD464	Ultrafast and Precise Interrogation of Fiber Bragg Grating Sensor Based on Wavelength-to-Time Mapping Incorporating Higher Order Dispersion
7D841585	Spatial Aliasing in Spherical Microphone Arrays
7FFDA10C	Avoidance of additional aliasing in multipass image rotations
802AF8DC	Infinite energy solutions to the homogeneous Boltzmann equation
75235AEF	Effect of friction on subsurface stresses in sliding line contact of multilayered elastic solids
75E90E2F	An internal crack parallel to the boundary of a nonhomogeneous half plane under thermal loading
7DEF9872	A new method for wide field synthetic aperture radar processing
5A7EB36D	Banach Gelfand Triples for Applications in Physics and Engineering
7BC99EE0	Directional energy spectra of the sea from photographs
791619E5	Rotational spectrum and structure of 1,2,3,4-tetrafluorobenzene
775F03EB	Rotational spectra, structure, Kr‐83 nuclear quadrupole coupling constant, and the dipole moment of the Kr‐benzene dimer
7D906D5A	Optimized non-uniform fast Fourier transform (NUFFT) for iterative tomographic reconstruction
7C143064	Conditions for the absolute convergence of Fourier integrals
7E7A16A3	Retrieval of instantaneous frequency from digital holograms based on adaptive windows
77C075D7	Continuous Fourier-transform spline solution of unstable resonator-field distribution
7E1E740D	Some results on biorthogonal-like functions for generalized Gabor expansions
7CA4F3E6	Microscopic imaging with high energy x-rays by Fourier transform holography
7C123241	Oscillatory integrals and Fourier transforms of surface carried measures
7E90A024	UWB pulse shaping and processing techniques based on photonic bandgap structures implemented in the electronic domain
78D418ED	Distributional convolutors for Fourier transform
79C1CAE5	Far field and energy flux caused by a radiating source in an anisotropic medium
7FED5DD8	On Sampling of Band-Limited Signals Associated With the Linear Canonical Transform
80FDD91A	Low-Level Cues and Ultra-Fast Face Detection
777B642C	Random fields on model sets with localized dependency and their diffraction
80958628	Generalized prolate spheroidal wave functions for optical finite fractional Fourier and linear canonical transforms
7C8F00E7	A method for analysing gravity anomalies due to a geologic contact by Fourier transform
77E462B1	The Fourier transform of multiradial functions
769AC54D	Calculation of overlap integrals between slater type orbitals using the fourier transformation
7BBE5B9B	Impact response of a cracked orthotropic medium-revisited
78B67FB4	Comment on “Local frequency analysis and the structure of classical phase space of the LiNC/LiCN molecular system” [J. Chem. Phys. 108, 63 (1998)]
78CAB4DA	Nonlinear analysis of sensory transduction in an insect mechanoreceptor
7BD3EB58	Two-dimensional phase retrieval by exponential filtering
7FA0CE1D	Digital processing of speckle photography to measure refractive index of a transparent plate
78B7D039	The visible excitation spectrum of jet cooled NO2: The chaotic behavior of a set of 2B2 vibronic levels
7CA39CD4	A wavelet network control method for disk drives
7517454A	Restriction of Fourier transforms to curves and related oscillatory integrals
78B04749	Retiming sequential circuits with multiple register classes
7F3693BD	A four-parameter atomic decomposition of chirplets
807E4CA0	A new subclass of complex-valued S -transform windows
7FEEAD7E	An interactive linear programming approach to model parameter fitting and worst case circuit design
77518B36	The study for the incipient solvation process of NaCl in water: The observation of the NaCl–(H2O)n (n = 1, 2, and 3) complexes using Fourier-transform microwave spectroscopy
7C41F90E	Rotational spectrum of the Ar–HCO+ ionic complex
7CFCDDF1	Automated least-squares calibration of the coregistration parameters for a micro PET-CT system
789BAB00	A fast Hough transform for the parametrisation of straight lines using fourier methods
7BD38D21	Fibre optic projected fringes for monitoring marble surface status
7E2623C0	Improved phase vocoder time-scale modification of audio
75653DB6	Efficient Computation of Oscillatory Integrals via Adaptive Multiscale Local Fourier Bases
804979BC	On weak covering of products of fuzzy finite machines
7788AE10	A study of gelatin gelation by Fourier transform mechanical spectroscopy
5835313C	Filtering of chirped ultrasound echo signals with the fractional Fourier transform
773D92BE	Pulsed phase thermography reviewed
7A08DE1E	Image of electron densities from line and plane projections
7F00F202	Mixed fourier transforms and image encryption
7F8C235D	Model-based near-field imaging of objects inside a room
773AD791	The Relation Between Open‐Circuit Voltage and the Onset of Photocurrent Generation by Charge‐Transfer Absorption in Polymer : Fullerene Bulk Heterojunction Solar Cells
7A07B583	Fourier analysis of EXAFS and XANES data - a self-contained FORTRAN program-package - the third version
76433508	Gas-phase bovine ubiquitin cation conformations resolved by gas-phase hydrogen/deuterium exchange rate and extent
7B2B4C97	A time-frequency convolutional neural network for the offline classification of steady-state visual evoked potential responses
76C848E2	Hybrid dyadic–mixed potential integral equation analysis of 3-D planar circuits and antennas
7E01073E	Leakage current reduction in CMOS VLSI circuits by input vector control
78748608	Pulsed currents carried by whistlers. IV. Electric fields and radiation excited by an electrode
76CFE2BB	Local spectral analysis in the visual cortex
7D9B9B3B	Increased accuracy orientation estimation from omnidirectional images using the spherical Fourier transform
78F8C1A4	Nuclear Quadrupole Coupling Constants of Chlorine and Microwave Spectrum, Structure, and ab Initio Calculation of 1-Chloro-1,1,2-trifluoroethane
7DDB1CCA	Fractional Fourier transform based key exchange for asymmetric key cryptography
78F28B77	Wavelet frames with irregular matrix dilations and their stability
7CD1FF11	Near-infrared spectroscopic study of self-association of octanoic acid
808043F3	Simultaneous Detection and Estimation Approach for Speech Enhancement
7DE510DC	A CUDA-based reverse gridding algorithm for MR reconstruction
77E777D9	Vibration of simplified prestressed pavement model under moving two-axle harmonic loads
811BFFA5	Two-dimensional extrapolation and spectral estimation from arbitrary sampling configurations for SAR/ISAR imaging
810DB06A	An improved spectrogram using the multiangle centered discrete fractional Fourier transform
