08220318	Perimeter Security Post 9/11
7C3A1A7C	Preliminary study on color based nectarine variety classification
7CD77A1D	Far-infrared phonon modes of selected RNA molecules
77E742D8	Multidimensional molecular identification by laser control mass spectrometry
006CEAAF	The technological trajectory of the automatic identification industry: the application of the systems of innovation (SI) framework for the characterisation and prediction of the auto-ID industry
7B4996B0	Texture based fingerprint BioHashing: Attacks and robustness
783833E2	Using optical wavelet packet transform to improve the performance of an optoelectronic iris recognition system
76055AA8	Fingerprint enhancement based on MRF with curve accumulation
7CA72828	Surface-enhanced Raman detection of RNA and DNA bases following flow-injection analysis or HPLC separation
7D9EC3BF	Aggressive compression of the dynamics of handwriting and signature signals
755F31B9	Military forensic use of handheld 3D camera
81592CFD	Matching electronic fingerprints of RFID tags using the Hotelling's algorithm
7F752936	Edge Effect in Perfectly Conducting Periodic Subwavelength Structures
74995881	Enhancement of robustness of image watermarks embedding into colored image, based on WT and DCT
77B6A4DB	Laser-based structured light system for biometric topographical mapping
13643550	Composite multi-lobe descriptor for cross spectral face recognition: matching active IR to visible light images
7D239A7C	Rate-constrained distributed distance testing and its applications
71ADD9E7	A colour object search technique
77C60C8D	Using GSM signals for fingerprint-based indoor positioning system
79057506	Privacy regulations on biometrics in Australia
7636DFC2	Low-threshold Raman laser from an on-chip, high Q polymer microcavity
5C526A52	Robust semi-supervised learning for biometrics
7CBCE1CE	Biometrie keys based on pseudorandom sequences
7EB03D56	A Pose Robust Multi-View Face Recognition System using Plane of Pose Tolerance
75641C6D	A true real-time, on-line security system for waterborne pathogen surveillance
7F90DD2A	Comparative statistical analysis of indoor positioning using empirical data and indoor radio channel models
7F3C1EEC	Thermal facial screening for deception detection
7A7AFE55	Ear recognition based on Gabor scale information
780D12B2	Software Framework for Authorized and Unauthorized Users in an Organization & Maintain High Security for IT Gadgets and Data (Using Encryption, Biometric, Bar Code)
7E3743F4	Fingerprint theorems for curvature and torsion zero-crossings
7E8F1C57	Fingerprint Segmentation Using Cellular Neural Network
7FFD3C0C	Holographic fingerprint sensor
79587BFF	Optical security verification for blurred fingerprints
5F763E63	Efficient generalized selective private function evaluation with applications in biometric authentication
74AF9AC6	Mapped Bodies Notes on the Use of Biometrics in Geopolitical Contexts
78442AF0	Use of artificial ants in a biometric checking system by iris recognition
7F4249BB	Exploiting Data Deduplication to Accelerate Live Virtual Machine Migration
7A32E427	Change in migration phenology and biometrics of two conspecific Sylvia species in Hungary
7A964FB2	Exploiting iris dynamics
757B2880	Anti-counterfeit System Based on Mobile Phone QR Code and Fingerprint
7903C1C6	The comparison of iris recognition using principal component analysis, independent component analysis and Gabor wavelets
797FE861	Digital image forensics
7981F757	Taking light pressure serious: light as a quasimechanical microtool
7CD723C5	Identities and Inequalities on Fuzzy Set Cardinalities
7DCCCC3F	Step acceleration based training algorithm for feedforward neural networks
5AE5BFE5	Image registration using PCA and gradient method for super-resolution imaging
7C539D8F	Influence of defects and substitutions on polarization phenomena of bioelectrets: apatites
7E839C61	Effective Compression of Monotone and Quasi-Monotone Sequences of Integers
7709ED3D	Synthetic aperture acoustic microscope for evaluation of fingertip peripheral skin structure
5F29243A	A False Rejection Oriented Threat Model for the Design of Biometric Authentication Systems
76FA4ADB	Neural network information technologies of pattern recognition
5CB1DCC3	On the realization of fuzzy identity-based identification scheme using fingerprint biometrics
79C6A540	Obfuscation of sensitive data in network flows
75A360EE	Variation in the Pattern of Nitrogen Accumulation and Distribution in Soybean
8117932A	Finger and palm print based multibiometric authentication system with GUI interface
80FCD4C7	Evaluation of copyright marking systems
7BD7BC36	Separation and sequence detection of overlapped fingerprints: experiments and first results
81626064	Genetic & Evolutionary Biometrics: Feature extraction from a Machine Learning perspective
8605CCDC	Ecologia alimentar e biometria de duas espécies de raias de espinho dos Açores : uma análise ecológica e perspetiva para turismo subaquático
789090AC	Visual cryptography improvises the security of tongue as a biometric in banking system
6888EB85	Concurrent self-organizing maps -a powerfuu artificial neural tool for biometric technology
7815E627	A Negative Number Vulnerability for Histogram-based Face Recognition Systems
791769C5	Advances in Human-Machine Systems for In-Vehicle Environments
7BD96112	Caller identification by voice
443D0438	Next Generation Testing : Biometric Analysis of Player Experience
7C653D96	Batch mode active learning for biometric recognition
7B1C1E55	Pooling Search: Serum Samples Test Simulated Video Fingerprint Search
7CD2FE63	LWIR/MWIR imaging hyperspectral sensor for airborne and ground-based remote sensing
759EFDED	A real-time robust digital fingerprinting algorithm
769ECF3B	Daugman’s Algorithm Enhancement for Iris Localization
7D3E1B0F	Expert system for flood management in Lake Manapouri
780EDBAC	Personal authentication using spatial and temporal information reading the personal data
7A3C2D47	Driver verification based on handgrip recognition on steering wheel
7AF545FC	Compact touchless fingerprint reader based on digital variable-focus liquid lens
7A37B114	A contribution to the study of species relations within the chrysomelid genus Altica Müller in Britain
7C9D05E8	Image quality-based adaptive illumination normalisation for face recognition
7A227532	Iris recognition and the challenge of homeland and border control security in UAE
0B253655	Biometric research as experimental method in science
768CDDBE	Special Issue on Biometrics: Algorithms and Applications
7F3ED6F9	Multi triangle based automatic face recognition system by using 3D geometric face feature
7E59E895	High-Level Methodology for Carrying out Combined Red and Blue Teams
7D6A4129	Phrenic nerves and diaphragms in sudden infant death syndrome1
841BE865	Face–iris multimodal biometric scheme based on feature level fusion
78C306B1	CO 2 Production by Cryptolestes ferrugineus (Stephens) in Stored Wheat under Adiabatic Conditions
81667822	Four new species of Acanthobothrium (Cestoda : Tetraphyllidea) from the whiptail stingray Dasyatis brevis in the Gulf of California, Mexico
7E24AC10	Additive data insertion into MP3 bitstream using linbits characteristics
85C0AE48	Distortion Analysis on Binary Representation of Minutiae Based Fingerprint Matching for Match-on-Card
7986618F	Feature quality-based multimodal unconstrained eye recognition
24DCB039	Strategies and Technology Choices for Bridge and Tunnel Monitoring, Assessment, and Protection
65CD378A	Information secure finger print analysis using wavelets
7C496D45	Laser Doppler technique for nondestructive evaluation of mechanical heart valves kinematics
5FDAAF66	Achieving Data Privacy and Security Using Web Services
7EE3C4D2	On separating overlapped fingerprints
7973C2A5	Mixture cure survival models with dependent censoring
7D0325EC	Investigating False Positive Reduction in HTTP via Procedure Analysis
12A2C6D3	Consolidating Our Country's Biometric Resources and the Possible Implications
58FDDEFF	Fingerprint match-on-card: review and outlook
7A264E9C	A new approach for cancelable iris recognition
5CF03D90	Latent fingerprints segmentation based on Rearranged Fourier Subbands
803CD87A	Large scale fingerprint mining
6CBC78B4	Biometric Security System
77147F51	Homographic active shape models for view-independent facial analysis
7A9223DC	Biometric monitoring of footstep and heart rate using wireless inertial sensors
7F4686E4	Fingerprinting-Based Localization in WiMAX Networks Depending on SCORE Measurements
78588FBC	Effects of focus difference of nested and isolated features for scanner proximity matching
815AB2B1	Automatic Detection of Facial Midline And Its Contributions To Facial Feature Extraction
772E727F	Criminal genomic pragmatism: prisoners' representations of DNA technology and biosecurity.
76D398BD	Extended visual cryptography scheme with an artificial cocktail party effect
06D5349A	Biometric identity cards
32D78C44	“REVIEW ON FACIAL RECOGNITION SYSTEM WITH ONLINE SENDING OF UNAUTHORIZED IMAGE INCLUDING MESSAGE ALERT SYSTEM”
