0B80918E	The Rascal Language Workbench
7DB4D705	Network Coding for Multi-Resolution Multicast
7BC78E11	Workstation software framework
7AC1D5C7	Machine planning in a product model environment
07C8FD2F	Visual Modeling for Parallel Programming Based on DSL
7E4ED790	On Code Generation for Derived Associations
777C6C99	An input-adaptive and in-place approach to dense tensor-times-matrix multiply
7D7B479B	Synthesizable high level hardware descriptions: using statically typed two-level languages to guarantee verilog synthesizability
7ED6040D	A Method for Constructing LDPC Codes with Low Error Floor
0BAD7EA5	Proceedings of the Third ACM SIGPLAN Workshop on Continuations (CW'01)
80EB49BC	Simulator for Software Maintainability
7742F85E	Modified berger codes for on-line DRAM repair strategies
7F32473C	The FUJABA environment
7F5FC7D6	Automated di/dt stressmark generation for microprocessor power delivery networks
7712AC6B	Kaira: Modelling and Generation Tool Based on Petri Nets for Parallel Applications
7B025671	Abstraction failures in concurrent programming
7D1A8E4C	Synthesis aspects of the PARADISE design environment
105ECF3A	Chapter 10 - Implementation of applications specified with IFML
5AECFFA5	Behavioural VHDL code generation for synchronous FSMs
7F97D6EE	Model-driven business performance management
7F4E75F0	Extended orthogonal code designs with applications in CDMA
5864A46A	Finding the Optimal Unroll-and-Jam
58FF6F42	Mapping locally recursive SEGs upon a multiprocessor system in a ring network
80E3D624	QR-code generator
78339BA2	A general CellML simulation code generator using ODE solving scheme description
7AF6D2BD	The graphics operator interface to control MAMI
5E3D702A	Fast, Error Correcting Parser Combinators: A Short Tutorial
7C1043F2	Experiences with the application of the ADIC automatic differentiation tool for to the CSCMDO 3-D volume grid generation code
58CC6FC5	Information systems development using a combination of process and rule based approaches
7D2AEED9	Interval algorithms for homophonic coding
5ED9CDE6	Reverse Engineering Functional Classes: A Middleware Case Study
7F8F7C94	Optimizing Component-Based Embedded Software
5DE159D5	Annotations for Portable Intermediate Languages
78B1CA04	Using CHARTER tools to develop a safety-critical avionics application in Java
0DF6B267	Solar energy systems simulation and analysis. 1st quarterly progress report, September 30-December 30, 1979
000EDCF2	CODE PORTABILITY FOR FPGA-BASED SIGNAL PROCESSING SUBSYSTEMS IN SOFTWARE-DEFINED RADIOS
76CDA203	Automatic discovery, selection, and specialization of modules in RCADE
770A514F	Compass-M1 Broadcast Codes in E2, E5b, and E6 Frequency Bands
7F423362	Autogenerating microsecond solvers for nonlinear MPC: A tutorial using ACADO integrators
6D742513	Developing a translator from C programs to data flow graphs using RAISE
811B55E3	Hybrid wavelength hopping/time spreading code division multiple access systems
7790CE11	Fast system-level power profiling for battery-efficient system design
7C19DD9B	Codesign of a parallel architecture and an optimizing compiler backend: SIN Rete processing as a case study
7523CD2D	A MATLAB-Based Code Generator for Parallel Sparse Matrix Computations Utilizing PSBLAS
7DAEF155	Towards an Integration of Low-Level Timing Analysis and Model-Based Code Generation
751AC5CD	High level design of adaptive distributed controller for partial dynamic reconfiguration in FPGA
7C96AE26	Generating and validating product instances in IEC 61131–3 from feature models
7BBF50D6	MBD-DSP: A model based design solution for DSP
78EE2D36	From platform independent service composition model in BPMN4SOA to executable service compositions
80A41EC5	Systems modeling, simulation and analysis using COVERS active objects
7DF35CC4	TADEUS: seamless development of task-based and user-oriented interfaces
802815BB	Bit plane slicing technique for iris based biometric system
7BFD0FBE	Acceleration of Streamed Tensor Contraction Expressions on GPGPU-Based Clusters
762E10F3	Path map symbol release rules and the exponential metric tree (source coding)
59A6BC0B	Seamless UML Support for Service-Based Software Architectures
80905D96	Automated glue/wrapper code generation in integration of distributed and heterogeneous software components
7C275081	Object oriented framework to develop automated warehousing systems based on step
7E3FA474	Performance simulation and analysis of M-ary frequency-shift keying with Reed Solomon encoding, noncoherent demodulation, and hybrid soft decision-hard decision decoding
8155086E	On the Capacity Analysis of A DS/FH CDMA System for the PCS
7AFDD2FD	Mostly C, challenges in LEGO® RCX code generation
7C536E9B	Analysis of the interactions between He+ ions and transition metal surfaces using co-axial impact collision ion scattering spectroscopy
6C066E16	Interface composition for web service intermediaries
7D2F09E0	A direct-sequence spread-spectrum super-regenerative receiver
7E7256E9	A component-based power system model-driven architecture
7FB6D8AF	Abstraction-guided Test Generation: A Case Study
761D300B	Productivity implications of Ada generics and code generation in military formatted message processing
7811993D	Security policy testing via automated program code generation
78C23F5D	A Differential Frequency Hopping Code Generator Construction Method: A Differential Frequency Hopping Code Generator Construction Method
77AE50F2	Generation of database schemas from Z specifications
7D40EF79	Template your boilerplate: using template haskell for efficient generic programming
7CE264F4	Move32int, a sea of gates realization of a high performance transport triggered architecture
58CD08E1	JML and Aspects: The Benefits of Instrumenting JML Features with AspectJ
7EBBC71C	Use of open source software for hard real-time experiments
5A0756E7	Artificial Intelligence Approach to Intergration of Feature-Based Modeling and Manufacturing Tasks Planning
811A1842	Reconfigurable Architectures and Instruction Sets: Programmability, Code Generation, and Program Execution
788193B9	Code Generation Framework for Grid Development
5853A55B	Model-Driven engineering of machine executable code
5B648B58	Self Reconfiguring EPIC Soft Core Processors
7B86C91F	Development of process visualization systems: An object-oriented approach
707060A7	An all-optical CDMA communication network by spectral encoding of LED using acoustically tunable optical filters
7BA39E27	Instructional experience with an XPL-implemented operating system model
7CA35CFB	Tool-supported specification of a wind turbine
5E461DDD	CEPXS/ONELD: A one-dimensional coupled electron-photon discrete ordinates code package
03F95F0E	Automation in CS1 with the Factoring Problem Generator
7D7CF0DD	Code Generation for Packet Header Intrusion Analysis on the IXP1200 Network Processor
764FAFB5	A model driven approach to build high effective and ergonomic mobile business applications
5BE0ED57	IEEE recommended practice for powering and grounding electronic equipment. (Color Book Series - Emerald Book)
766F0A5D	Cross Comparison on C Compilers' Reliability Impact on 64-Bit Windows Vista OS
7EF1E5F7	Compilation of I/O communications for HPF
7750CFBA	LOGIC DESIGN OF ORTHOGONAL VARIABLE SPREADING FACTOR CODE GENERATOR
7D19195E	A framework for the definition and generation of artificial neural networks
7ECA14CF	SM@RT: representing run-time system data as MOF-compliant models
7B1D837D	Josephson voltage standards
80FE7819	Schema AND Data: A Holistic Approach to Mapping, Resolution and Fusion in Information Integration
76050374	Rapid Ada prototyping: principles and example of a complex application
76F644CA	Simulation code generation on WWW using object-oriented manufacturing resource model
77192998	Code generation for a novel STA architecture by using post-processing backend
5990FD9C	Machine-independent support for garbage collection, debugging, exception handling, and concurrency (draft)
7E4D5E59	Collaborative support embedded in information system through automatic code generation
7B6FF64B	System and method for information security in optical communication networks
7CF79F1C	High performance code generation through lazy activation records
72D67054	Use of a matched filter for synchronization of a DS receiver in AWGN channel and continuous tone jamming
5F223D04	New GOES satellite synchronized time code generation
7CA9ACF7	Software Based Remote Attestation for OS Kernel and User Applications
5BE7861A	Integration of GRACE and PYTHIA
131F59BE	Cyclic Extended Spread Coded Mult icarrier C D MA /TD D Transmission Scheme far Wireless Broadband Multimedia Communications
771DA929	Information additive code generator and decoder for communication systems
7A91E815	A novel phase-only excitation law for omnidirectional arrays
80F236D7	AUML protocols and code generation in the Prometheus design tool
7F52E061	WS-BPEL Process Compiler for Resource-Constrained Embedded Systems
667E1496	FADIS: an integrated development environment for automatic design and implementation of FLC
092DF6AD	ReFlExAn Experimental Tool for Special-Purpose Processor Code Generation
6351BBB8	A solution to Prandtl's boundary layer equations using direct, formal integration
7770DDCE	TRANSFORMATION OF NESTED LOOPS WITH MODULO INDEXING TO AFFINE RECURRENCES
726036D7	Specification of industrial digital controllers with object-oriented Petri nets
7B48F119	Operator interface development for control software
06A3031E	Lifting the restriction of aggregate data motion in parallel processing
7CDB6213	Caracal: dynamic translation of runtime environments for GPUs
7B3C33DF	Heuristic rules embedded genetic algorithm to solve in-core fuel management optimization problem
0B4F36C8	ALAM/CLAM and some applications of computer algebra systems to problems in general relativity
7D6E9DDF	Automated Domain-Specific Modeling Languages for Generating Framework-Based Applications
5C2A094C	A new CDMA long code fast computing method
75D63EC8	The architecture of an ALGOL 60 computer implemented with distributed processors
7D3B9D8A	Migrating a large modeling environment from XML/UML to Xtext/GMF
111EF865	Omelett : a language for reactive programming
0175CBC9	Search Trees for Distributed Graph Transformation Systems
7DBC0B5F	2D-pattern matching image and video compression: theory, algorithms, and experiments
7C4F69E0	Soft scheduling in high level synthesis
80441974	Determination of the Best CRC Codes with up to 10-Bit Redundancy
