7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7D228346	Information not present<--Effectiveness of on-die decoupling capacitance in improving chip performance
797F89B2	Journal of Optics B-quantum and Semiclassical Optics<--A small trapped-ion quantum register
7A3332FD	Distributed Computing<--Clock synchronization and the power of broadcasting
6A5A4381	Canadian Conference on Electrical and Computer Engineering<--Frequency synthesis: a comparison of techniques
7BA086C3	Nature<--Architecture for a large-scale ion-trap quantum computer
5E985445	Information not present<--Tree Structured, Multi-hop Time Synchronization Approach in Wireless Sensor Networks
6D0135BA	Symposium on Reliable Distributed Systems<--Communication protocols for fault-tolerant clock synchronization in not-completely connected networks
7FECF5C9	Information not present<--Token-based medium access control solution for underwater acoustic broadcast
79A96ADF	Document Analysis Systems<--On Reference Node Deployment for Precise Clock Synchronization in Smart Power Grid
6785DC05	European Conference on Parallel Processing<--Clock Synchronization in Cell BE Traces
7E8BAF55	Adaptive Agents and Multi-Agents Systems<--Collective decision-making in multi-agent systems by implicit leadership
7BA6884C	Information not present<--An improved scheduling technique for time-triggered embedded systems
78566B6F	Journal of Instrumentation<--A prototype for the upgraded readout electronics of TileCal
762B2448	International Conference on Control and Automation<--Transformed EPA protocol on WLAN
7E2397FF	IEEE Photonics Technology Letters<--160-gb/s optical clock recovery using a regeneratively mode-locked laser diode
763CDF44	Symposium on Discrete Algorithms<--The wake-up problem in multi-hop radio networks
5EF8880A	International Symposium on Distributed Computing<--Booting Clock Synchronization in Partially Synchronous Systems
5F5BB6E4	Vehicular Technology Conference<--Basestation-to-mobile clock synchronization in the presence of carrier frequency offset
78C755A4	Operating Systems Review<--A security risk of depending on synchronized clocks
7822FEEE	Journal of Innate Immunity<--Systems biology of circadian-immune interactions
09B2A800	Information not present<--Definition of Antenna Microwave Time Delay for VLBI Clock Synchronization
80BB9E94	Information not present<--Coherent preamble detection and packet decoding for wireless clock synchronization using IEEE 802.11b WLAN
7E9FF26C	Conference on Decision and Control<--A distributed consensus protocol for clock synchronization in wireless sensor network
78F73426	Computer Science and Information Engineering<--Analyze and Improve the Time Synchronization in EPA
815E7D30	Information not present<--Quantitative and Qualitative Comparison Study of Reference Based Time Synchronization Approach in Wireless Sensor Network
7D8DFB4D	Information not present<--A new UWB positioning and ranging technique to fix the error due to clock offset
7941F5FC	Applied Mechanics and Materials<--Snowball Effect Time Synchronization Based on Energy Optimization for Wireless Sensor Networks
7B3A7D03	Information not present<--Simulations of a chain of Telecom Boundary Clocks combined with Synchronous Ethernet for phase/time transfer
7F1E9197	Information not present<--Time-complemented event-driven control framework for distributed motion control systems based on IEC 61499 and IEEE 1588
7EF9DD0F	Information not present<--The Application of Synchronous Triggering Technology in the Flight Data Simulation System
7EF6E174	International Conference on Communications<--Improved Estimation of Clock Offset in Sensor Networks
7D1B5699	Information not present<--On the Formal Verification of the FlexRay Communication Protocol
75ED7FC8	Applied Mechanics and Materials<--FC Network Clock Synchronization Error Analysis and Solution
0ED97B40	Information not present<--Security and Self-stabilization in Sensor Network Services
77137982	Journal of Modern Optics<--Photon counting module for laser time transfer via Earth orbiting satellite
800F7DA5	Information not present<--Cost effective H-V scaling direction interchangeable frame-lock scaling engine
6430DB3B	Information not present<--Precise determination of the difference between path delays in clock synchronization using TV signals.
7BDF22A2	Information not present<--Comparison of the communication protocols DLMS/COSEM, SML and IEC 61850 for smart metering applications
78D42E4B	Principles of Distributed Computing<--Garbage collection of timestamped data in Stampede
76C74D98	International Conference on Communications<--A Distributed Topology Management Protocol for Wireless Sensor Networks
80407FC3	Information not present<--An algorithm for WSN clock synchronization: Uncertainty and convergence rate trade off
7A31D1C2	Principles of Distributed Computing<--Fail-awareness in timed asynchronous systems
7BE1EFCB	Physical Review A<--Positioning and clock synchronization through entanglement
7F8EAA0D	IEEE Transactions on Instrumentation and Measurement<--Optimal Synchronization of Local Clocks by GPS 1PPS Signals Using Predictive FIR Filters
7EFB2993	IEEE Communications Letters<--Performance Improvement of Delay-Based TCPs in Asymmetric Networks
808FF9CE	International Parallel and Distributed Processing Symposium<--Evaluating a clock synchronization for dependable sensor networks
608F383A	Information not present<--Special relativity with clock synchronization
7DCB0E0A	IEEE Transactions on Information Theory<--On Minimum Variance Unbiased Estimation of Clock Offset in a Two-Way Message Exchange Mechanism
7A4D369A	Information & Software Technology<--Testing distributed real-time systems in the presence of inaccurate clock synchronizations
01CC9E42	Electronic Communication of The European Association of Software Science and Technology<--Multi-hop Clock Synchronization in Wireless Ad-Hoc Networks
7F406453	International Conference on Communications<--Symbol synchronization algorithms for M-PSK operating at one sample per symbol
77DB7A7E	Proceedings of the IEEE<--Uplink Facilities Based on ISDB-S
7D00F758	Information not present<--A Complex Electronics System Built-in-Test Based on Time-Triggered CAN Bus
77AFA086	Mobile Ad Hoc Networking and Computing<--Ad hoc networks: pushing mobile and wireless communication since 1970
7ECC7DF9	Pacific Rim International Symposium on Dependable Computing<--A Peer-to-Peer Filter-Based Algorithm for Internal Clock Synchronization in Presence of Corrupted Processes
798792B0	Information not present<--Communication System Design using M'ary Full and Partial Response Continuous Phase Modulation
7D79B18C	Information not present<--Localization and Communication for UWB-based Wireless Sensor Networks
7F9C41AF	International Conference on Distributed Computing Systems<--A multi-channel MAC protocol with power control for multi-hop mobile ad hoc networks
7AB2BC00	Automatica<--Average TimeSynch: A consensus-based protocol for clock synchronization in wireless sensor networks.
76CC15F3	International Conference on Wireless Communications and Mobile Computing<--A asynchronous MAC layer channel selection scheme for multichannel ad hoc networks
7F2B4810	IEEE Computer<--TTP-A Protocol for Fault-Tolerant Real-Time Systems
5E805B77	Information not present<--Clock Synchronization Algorithm Derivation and Realization for Network Control System
7EA5B92B	Information not present<--Clock: Synchronizing Internal Relational Storage with External XML Documents
7A8576E2	Applied Mechanics and Materials<--A Design of CPPLL for CMMB Broadcasting System
00DAE4E4	Information not present<--(A) high-accuracy clock synchronization system over packet switched networks
7DF9403A	IEEE Transactions on Software Engineering<--Formal verification for fault-tolerant architectures: prolegomena to the design of PVS
7F5CB59D	Information not present<--A 3D User Interface for the Active Reflector of Large Radio Telescope
81169171	Emerging Technologies and Factory Automation<--The effect of quartz drift on convergence-average based clock synchronization
7959A514	Information & Computation<--An upper and lower bound for clock synchronization
75D8603B	Iee Proceedings I Communications, Speech and Vision<--Joint carrier and clock recovery for QPSK and MSK digital communications
7DD69F1C	Information not present<--Decoding the Engine Crank Signal Referring to AUTOSAR
75EC308C	Computational Aspects of Social Networks<--Clock Synchronization Method for Star-Structure Wireless Sensor Network
597CFDD7	Information not present<--One Clock to Rule Them All: A Primitive for Distributed Wireless Protocols at the Physical Layer
783828DD	Physics Letters A<--Relative phase determination and clocks synchronization via shared entanglement
58DCBDE0	Scandinavian Workshop on Algorithm Theory<--On Self-Stabilizing Wait-Free Clock Synchronization
