7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
75A052EF	Optics Letters<--High-resolution, large dynamic range fiber length measurement based on a frequency-shifted asymmetric Sagnac interferometer
7CE63934	Information not present<--Plasma Antenna With Electro-Optical Modular
78118B99	Information not present<--Antenna technology for mobile satellite radio reception
5B85029E	IEEE Control Systems Magazine<--GaAs monolithic circuit for FMCW radars
77B2AE9E	IEEE Transactions on Magnetics<--Combined Wide-Narrow Double Modulation of Spin-Torque Oscillators for Improved Linewidth During Communication
7E6C0895	Journal of Lightwave Technology<--Noise Properties of Microwave Phase Shifters Based on Semiconductor Optical Amplifiers
827FC390	Information not present<--LA SEXUALIDAD, TEMA DE SALUD ABIERTO PARA TODOS. DÍA MUNDIAL DE LA SALUD SEXUAL
7B6B7624	Information not present<--Carrier recovery loop for millimeter-wave heterodyne receiver
7926E785	Information not present<--New efficient and robust narrowband active noise control systems with feedforward secondary-path compensation
5C0CD0C6	Vehicular Technology Conference<--Co-channel interference rejection using a model-based demodulator for AMPS and NAMPS
764B5537	International Symposium on Low Power Electronics and Design<--/spl Delta/-/spl Sigma/ frequency-to-time conversion by triangularly weighted ZC counter
79A3DDC9	Information not present<--Realization of RDS encoder with atmel microcontroller
76540D06	Transactions of The American Institute of Electrical Engineers<--Distortion and Band-Width Characteristics of Pulse Modulation
5E55E8B6	IEEE Transactions on Instrumentation and Measurement<--Self-calibrating single sideband generators with high carrier- and unwanted sideband-rejection
7B482A26	Information not present<--Comparative performance of intensity modulation schemes for HDTV transmission on single-mode fibre
7BDA5B8B	IEEE\/ASME Journal of Microelectromechanical Systems<--High- $Q$ Integrated CMOS-MEMS Resonators With Deep-Submicrometer Gaps and Quasi-Linear Frequency Tuning
7B3AEAFA	Information not present<--Polarization-modulated microwave photonic signal processing
80A61C9E	Global Communications Conference<--Estimation of the nonstationary mean signal in wireless systems using wavelets
7BC4B82B	IEEE Spectrum<--Biological effect of electromagnetic fields: New findings linking changes in organisms to irradiation by weak fields encourage researchers to posit theories, although research is incomplete
7D31B184	Information not present<--AFM of self-organised nanoparticle arrays: frequency modulation, amplitude modulation, and force spectroscopy
79EC8241	Journal of the Acoustical Society of America<--Cortical Responses of Awake Cat to Narrow‐Band FM Noise Stimuli
742D901C	Information not present<--Hybrid optical-RF system for generating an improved linear frequency modulated pulses for radar applications
80E04FC7	IEEE Transactions on Antennas and Propagation<--Analysis of Acousto-Electromagnetic Wave Interaction Using Sheet Boundary Conditions and the Finite-Difference Time-Domain Method
75A09F37	Information not present<--Towards an all fibre based optical frequency standard using acetylene-filled hollow-core photonic bandgap fibres.
7551F122	Information not present<--Research on hybrid modulation strategies based on general hybrid topology of multilevel inverter
77BE6B8F	IEEE Photonics Technology Letters<--Multigigahertz bandwidth FM response of frequency tunable two-electrode DFB lasers
81E11513	Information not present<--LA CRISIS EN DIVERSOS ORDENES PROPICIA EL RESURGIMIENTO DE LAS PRACTICAS MAGICAS
59FD0C92	International Symposium on Signal Processing and Information Technology<--Detection of known FM signals in known heavy-tailed noise
7C8420D3	Sensor, Mesh and Ad Hoc Communications and Networks<--Distributed Optimization of Cognitive Radios Employed in Dynamic Spectrum Access Networks
7D37AABB	Integrated Network Management<--Probabilistic differentiated availability services in WDM networks protected by shared protection schemes
802672CD	IEEE Transactions on Microwave Theory and Techniques<--Multifunctional fiber-optic microwave links based on remote heterodyne detection
802406E3	Information not present<--A fast-locking all-digital phase-locked loop with a novel counter-based mode switching controller
76289FC5	Information not present<--Line coding for 10-Gb/s directly modulated lasers
157C100E	Information not present<--8079 建物ライフサイクルにおけるBIM活用の検討 : その2 BIMモデルのFM利用のための作り込みの考察(FM(1),建築社会システム,2014年度日本建築学会大会(近畿)学術講演会・建築デザイン発表会)
815CA9C0	Physical Review D<--Small mass plunging into a Kerr black hole: Anatomy of the inspiral-merger-ringdown waveforms
7936A778	International Conference on Communications<--Miller code usage in Visible Light Communications under the PHY I layer of the IEEE 802.15.7 standard
7804EFDE	Thrombosis Research<--Fresh frozen plasma in patients with disseminated intravascular coagulation or in patients with liver diseases
7F28175B	IEEE Journal of Quantum Electronics<--A new approach to picosecond laser pulse analysis shaping and coding
80D8012D	IEEE Transactions on Broadcasting<--FM wide band panel dipole antenna
7F0926D2	IEEE Transactions on Communications<--Binary Orthogonal FM Technique with Multiple Properties
5D22D2CB	Information not present<--Bandwidth compression in triangular lattice based dynamic photonic crystals structures
7D9125CC	Information not present<--CMOS fully differential CMOS Four-quadrant analog multiplier
7ED6FAD6	Information not present<--Preamble-based channel estimation in HomePlug AV systems
7BBCB2FD	International Conference on Networking<--RPSim: A Rapid Prototyping Full-System Simulator for SoC Software Development
0F7515EA	Information not present<--The Recording of Cardiac Rhythms on a Magnetic Tape for Later Computer Input (Analysis) (Voprosy Magnitnoi Registratsii Ritmov Serdtsa dlya Posleduyushchego vvoda v E Ts VM),
7807C635	BioMedical Engineering and Informatics<--The double win system of family medical enterprise
80D7A07C	Information not present<--An Approach for Ontology Mapping Based on Semantic and Structural Information in Ontologies
790E7DAB	IEEE Signal Processing Letters<--Statistical Analysis of the Phase-Locking Value
81412442	IEEE Transactions on Instrumentation and Measurement<--A Time Domain Envelope Vectorial Network Analyzer for Non-linear Measurement Based Modeling Accounting Impedance Mismatches
7D7CE017	IEEE Transactions on Power Electronics<--Fundamental Frequency Switching Strategies of a Seven-Level Hybrid Cascaded H-Bridge Multilevel Inverter
81472A2E	IEEE Transactions on Instrumentation and Measurement<--Improvement of oscillometric blood pressure estimates through suppression of breathing effects
7F5C281E	Information not present<--Novel digital FM Demodulation
7F72188D	IEEE Transactions on Communications<--A Comparison of Modulation Techniques for Quantized Voice Communications
85FFC432	Information not present<--A comparison between level- and phase-shift space vector duty-cycle modulations using a nine-switch inverter for an ASD
76707CE6	Information not present<--A High Embedding Efficiency Steganography Scheme for Wet Paper Codes
22288FE3	Information not present<--科技新成就促进了SCADA系统的应用和发展——AM,FM,GIS技术与SCA …
7DF32EAD	American Control Conference<--ℒ 1 adaptive controller for nonlinear reference systems
7AF4323D	Information not present<--Infrared detection technique based on multicorrelation of frequency and time
77D10A59	Proceedings of The Institute of Radio Engineers<--A Variable Phase-Shift Frequency-Modulated Oscillator
81F3F3E4	Information not present<--Current control for a random PWM voltage source inverter
7D36D796	Information not present<--Decision-directed estimation of carrier frequency and phase for burst PSK transmission
786158A3	Remote Sensing<--Analysis of the impact of ASCAT's pulse compression
7FD47DFB	Information not present<--On the Design of a Single Frequency Network Modulator for DTMB
78C51D1E	Electronics Letters<--Frequency modulation and spectral characteristics for a 1.5μm phase-tunable DFB laser
8459EE7A	Information not present<--Permutation-free clustering of relative transfer function features for blind source separation
76B5F0D0	Information not present<--Mode area scalability in rectangular core fiber
7CC44E67	Information not present<--Status of high power gyrotron development in JAEA
77896395	Information not present<--Distributed containment control of networked fractional-order systems with multiple leaders
80894386	Information not present<--Recommending features and feature relationships from requirements documents for software product lines
7B7B7D67	Physics of Fluids<--Stabilization of Taylor–Couette flow due to time‐periodic outer cylinder oscillation
5BCB8F0B	Information not present<--Millimeter-wave modulation of 850 nm VCSELs for radio over fiber applications
7E18B85F	Information not present<--Pseudo Echo Ranging
2C64DC8B	Information not present<--Program on application of communications satellites to educational development: Design of a 12 channel FM microwave receiver. [color television from communication satellites
735BBF76	Epilepsy & Behavior<--Broadband operation of a radio frequency spectrum analyzer based on spectral hole burning
59AE7B8E	International Conference on E-Business and E-Government<--Notice of Retraction Research on the Original Mechanism of Enterprise Competitive Advantage Based on Enterprise Routines
7EFA386C	Information not present<--A fully integrated all-digital PLL based FM-radio Transmitter in 90 nm CMOS
